A1_a, A1_b, A1_c, A1_d, A1_e, A2_a, A2_b, A2_c, A2_d, A2_e
1, 11, 21, 31, 41, 1, 11, 21, 31, 41
1, 11, 21, 31, 41, 2, 12, 22, 32, 42
1, 11, 21, 31, 41, 3, 13, 23, 33, 43
1, 11, 21, 31, 41, 4, 14, 24, 34, 44
1, 11, 21, 31, 41, 5, 15, 25, 35, 45
1, 11, 21, 31, 41, 6, 16, 26, 36, 46
1, 11, 21, 31, 41, 7, 17, 27, 37, 47
1, 11, 21, 31, 41, 8, 18, 28, 38, 48
1, 11, 21, 31, 41, 9, 19, 29, 39, 49
1, 11, 21, 31, 41, 10, 20, 30, 40, 50
2, 12, 22, 32, 42, 1, 11, 21, 31, 41
2, 12, 22, 32, 42, 2, 12, 22, 32, 42
2, 12, 22, 32, 42, 3, 13, 23, 33, 43
2, 12, 22, 32, 42, 4, 14, 24, 34, 44
2, 12, 22, 32, 42, 5, 15, 25, 35, 45
2, 12, 22, 32, 42, 6, 16, 26, 36, 46
2, 12, 22, 32, 42, 7, 17, 27, 37, 47
2, 12, 22, 32, 42, 8, 18, 28, 38, 48
2, 12, 22, 32, 42, 9, 19, 29, 39, 49
2, 12, 22, 32, 42, 10, 20, 30, 40, 50
3, 13, 23, 33, 43, 1, 11, 21, 31, 41
3, 13, 23, 33, 43, 2, 12, 22, 32, 42
3, 13, 23, 33, 43, 3, 13, 23, 33, 43